_id,created_at,image_url,outcome_name,phone,price,updated_at
64f2ea2468513eed34118615,2023-09-02T07:54:12.883Z,,mangan,3136b4b3710201f856e5c1bcb358d7a2dc1c908274f413f78f193d7e6fb8870b,08df002fc2905372e0f482032391e85c9b7c7c2537565d652e1182caec5a816b5000,2023-09-02T07:54:12.883Z
64cb6544722138290aed319c,2023-08-03T08:28:52.627Z,,bakso,e712ad7d470f1fd0706d5bd5225cc9c9b5e00118366fcb4e272a7fdb3a8f9b0d,27000,2023-08-03T08:28:52.627Z
64cf8ded42a3a164e7c6af9f,2023-08-06T12:11:25.880Z,,mixue,a4e2632d231715b95343bbac83ab6cc50c62247e3ad1abc3c8912ec0a421dfda,16000,2023-08-06T12:11:25.880Z
64cf8e0b42a3a164e7c6afa1,2023-08-06T12:11:55.596Z,,mie ayam,a4e2632d231715b95343bbac83ab6cc50c62247e3ad1abc3c8912ec0a421dfda,12000,2023-08-06T12:11:55.596Z
64cf8ed442a3a164e7c6afa5,2023-08-06T12:15:16.495Z,,jus,f22e05871839177258b5a7d1a73257e3363313ee6da93c7f60a8fc1143f7a54f,5000,2023-08-06T12:15:16.495Z
64cf8fe942a3a164e7c6afa7,2023-08-06T12:19:53.920Z,,nasi rames,f22e05871839177258b5a7d1a73257e3363313ee6da93c7f60a8fc1143f7a54f,10000,2023-08-06T12:19:53.920Z
64cf91bd42a3a164e7c6afaa,2023-08-06T12:27:41.340Z,, Aqua,a37f590c33bde98de39d8cac3bd8858f58db3c8d56312444fb6560d92ce895df,20000,2023-08-06T12:27:41.340Z
64cf959dfe7357a95b7dcb80,2023-08-06T12:44:13.052Z,be2e2517-6f79-49a0-a472-030d13e68662.jpeg," Aay dpa '",1fef0890dfb65a6d84847deeda2663b3d4a0890132a3685d498607a6cfc0d5f6,4000,2023-08-06T12:44:13.052Z
64cf959dfe7357a95b7dcb81,2023-08-06T12:44:13.053Z,be2e2517-6f79-49a0-a472-030d13e68662.jpeg, Cet TA -,1fef0890dfb65a6d84847deeda2663b3d4a0890132a3685d498607a6cfc0d5f6,0000,2023-08-06T12:44:13.053Z
64cfd10eadd7ad7302ea7c26,2023-08-06T16:57:50.430Z,,Gula Jawa,40f4e813a0beb8fbaaa00ec9b8f57e7d63a02391761a6a98a8dd99507be2d097,2000,2023-08-06T16:57:50.430Z
